correlation,scores_based_on_emp_rank,p_value,subharmonic_method,periods_considered,threshold_exponent,compared_with,exp_with,ground_truth_type,clean_subharmonic_method,method_focus
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_delta_t_and_choose_top_3_delta_t,6,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method B,Delta_t focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_delta_t_and_filter_by_smallest_ratio,6,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method C,Delta_t focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),6,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method A,Delta_t focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_ratio_and_choose_top_3_ratio,6,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method I,Delta_t/T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_ratio_and_filter_by_smallest_delta_t,6,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method H,Delta_t/T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_ratio_and_filter_by_smallest_t_sub,6,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method G,Delta_t/T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_t_sub_and_choose_top_3_t_sub,6,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method D,T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_t_sub_and_filter_by_smallest_delta_t,6,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method E,T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_t_sub_and_filter_by_smallest_ratio,6,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method F,T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_delta_t_and_choose_top_3_delta_t,7,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method B,Delta_t focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_delta_t_and_filter_by_smallest_ratio,7,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method C,Delta_t focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),7,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method A,Delta_t focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_ratio_and_choose_top_3_ratio,7,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method I,Delta_t/T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_ratio_and_filter_by_smallest_delta_t,7,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method H,Delta_t/T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_ratio_and_filter_by_smallest_t_sub,7,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method G,Delta_t/T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_t_sub_and_choose_top_3_t_sub,7,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method D,T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_t_sub_and_filter_by_smallest_delta_t,7,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method E,T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_t_sub_and_filter_by_smallest_ratio,7,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method F,T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_delta_t_and_choose_top_3_delta_t,8,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method B,Delta_t focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_delta_t_and_filter_by_smallest_ratio,8,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method C,Delta_t focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),8,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method A,Delta_t focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_ratio_and_choose_top_3_ratio,8,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method I,Delta_t/T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_ratio_and_filter_by_smallest_delta_t,8,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method H,Delta_t/T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_ratio_and_filter_by_smallest_t_sub,8,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method G,Delta_t/T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_t_sub_and_choose_top_3_t_sub,8,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method D,T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_t_sub_and_filter_by_smallest_delta_t,8,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method E,T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_t_sub_and_filter_by_smallest_ratio,8,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method F,T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_delta_t_and_choose_top_3_delta_t,9,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method B,Delta_t focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_delta_t_and_filter_by_smallest_ratio,9,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method C,Delta_t focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),9,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method A,Delta_t focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_ratio_and_choose_top_3_ratio,9,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method I,Delta_t/T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_ratio_and_filter_by_smallest_delta_t,9,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method H,Delta_t/T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_ratio_and_filter_by_smallest_t_sub,9,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method G,Delta_t/T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_t_sub_and_choose_top_3_t_sub,9,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method D,T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_t_sub_and_filter_by_smallest_delta_t,9,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method E,T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_t_sub_and_filter_by_smallest_ratio,9,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method F,T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_delta_t_and_choose_top_3_delta_t,10,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method B,Delta_t focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_delta_t_and_filter_by_smallest_ratio,10,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method C,Delta_t focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),10,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method A,Delta_t focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_ratio_and_choose_top_3_ratio,10,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method I,Delta_t/T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_ratio_and_filter_by_smallest_delta_t,10,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method H,Delta_t/T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_ratio_and_filter_by_smallest_t_sub,10,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method G,Delta_t/T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_t_sub_and_choose_top_3_t_sub,10,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method D,T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_t_sub_and_filter_by_smallest_delta_t,10,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method E,T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_t_sub_and_filter_by_smallest_ratio,10,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method F,T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_delta_t_and_choose_top_3_delta_t,11,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method B,Delta_t focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_delta_t_and_filter_by_smallest_ratio,11,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method C,Delta_t focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),11,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method A,Delta_t focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_ratio_and_choose_top_3_ratio,11,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method I,Delta_t/T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_ratio_and_filter_by_smallest_delta_t,11,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method H,Delta_t/T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_ratio_and_filter_by_smallest_t_sub,11,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method G,Delta_t/T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_t_sub_and_choose_top_3_t_sub,11,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method D,T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_t_sub_and_filter_by_smallest_delta_t,11,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method E,T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_t_sub_and_filter_by_smallest_ratio,11,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method F,T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_delta_t_and_choose_top_3_delta_t,12,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method B,Delta_t focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_delta_t_and_filter_by_smallest_ratio,12,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method C,Delta_t focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),12,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method A,Delta_t focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_ratio_and_choose_top_3_ratio,12,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method I,Delta_t/T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_ratio_and_filter_by_smallest_delta_t,12,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method H,Delta_t/T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_ratio_and_filter_by_smallest_t_sub,12,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method G,Delta_t/T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_t_sub_and_choose_top_3_t_sub,12,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method D,T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_t_sub_and_filter_by_smallest_delta_t,12,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method E,T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_t_sub_and_filter_by_smallest_ratio,12,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method F,T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_delta_t_and_choose_top_3_delta_t,13,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method B,Delta_t focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_delta_t_and_filter_by_smallest_ratio,13,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method C,Delta_t focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),13,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method A,Delta_t focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_ratio_and_choose_top_3_ratio,13,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method I,Delta_t/T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_ratio_and_filter_by_smallest_delta_t,13,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method H,Delta_t/T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_ratio_and_filter_by_smallest_t_sub,13,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method G,Delta_t/T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_t_sub_and_choose_top_3_t_sub,13,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method D,T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_t_sub_and_filter_by_smallest_delta_t,13,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method E,T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_t_sub_and_filter_by_smallest_ratio,13,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method F,T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_delta_t_and_choose_top_3_delta_t,14,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method B,Delta_t focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_delta_t_and_filter_by_smallest_ratio,14,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method C,Delta_t focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),14,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method A,Delta_t focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_ratio_and_choose_top_3_ratio,14,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method I,Delta_t/T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_ratio_and_filter_by_smallest_delta_t,14,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method H,Delta_t/T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_ratio_and_filter_by_smallest_t_sub,14,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method G,Delta_t/T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_t_sub_and_choose_top_3_t_sub,14,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method D,T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_t_sub_and_filter_by_smallest_delta_t,14,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method E,T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_t_sub_and_filter_by_smallest_ratio,14,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method F,T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_delta_t_and_choose_top_3_delta_t,15,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method B,Delta_t focused
