,case,note_names,periods_considered,threshold_exponent,tension_score,chord_label,normalized_tension_score
94,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",11,10**8,101803.24854883472,Adim1st,0.8464516485785107
95,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",11,10**9,101803.24854883472,Adim1st,0.8464516485785107
96,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",12,10**1,0.0,Adim1st,0.0
97,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",12,10**10,101803.24854883472,Adim1st,0.7795225479684385
98,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",12,10**11,101803.24854883472,Adim1st,0.7795225479684385
99,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",12,10**12,101803.24854883472,Adim1st,0.7795225479684385
100,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",12,10**2,0.0,Adim1st,0.0
101,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",12,10**3,0.0,Adim1st,0.0
102,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",12,10**4,0.0,Adim1st,0.0
103,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",12,10**5,101803.24854883472,Adim1st,0.7795225479684385
104,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",12,10**6,101803.24854883472,Adim1st,0.7795225479684385
105,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",12,10**7,101803.24854883472,Adim1st,0.7795225479684385
106,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",12,10**8,101803.24854883472,Adim1st,0.7795225479684385
107,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",12,10**9,101803.24854883472,Adim1st,0.7795225479684385
108,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",13,10**1,0.0,Adim1st,0.0
109,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",13,10**10,101803.24854883472,Adim1st,0.3261269449754898
110,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",13,10**11,101803.24854883472,Adim1st,0.3261269449754898
111,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",13,10**12,101803.24854883472,Adim1st,0.3261269449754898
112,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",13,10**2,0.0,Adim1st,0.0
113,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",13,10**3,0.0,Adim1st,0.0
114,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",13,10**4,0.0,Adim1st,0.0
115,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",13,10**5,101803.24854883472,Adim1st,0.3261269449754898
116,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",13,10**6,101803.24854883472,Adim1st,0.3261269449754898
117,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",13,10**7,101803.24854883472,Adim1st,0.3261269449754898
118,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",13,10**8,101803.24854883472,Adim1st,0.3261269449754898
119,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",13,10**9,101803.24854883472,Adim1st,0.3261269449754898
120,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",14,10**1,0.0,Adim1st,0.0
121,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",14,10**10,101803.24854883472,Adim1st,0.3261269449754898
122,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",14,10**11,101803.24854883472,Adim1st,0.3261269449754898
123,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",14,10**12,101803.24854883472,Adim1st,0.3261269449754898
124,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",14,10**2,0.0,Adim1st,0.0
125,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",14,10**3,0.0,Adim1st,0.0
126,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",14,10**4,0.0,Adim1st,0.0
