chord_label,normalized_value,cleaned_method_name,exp_with,r_names_used,harmonics_considered,ground_truth_type
m3,0.5871020203915683,Method E,Intervals,All r_bounds Considered,4,Interval Ranking Order
TT,1.0,Method E,Intervals,All r_bounds Considered,4,Interval Ranking Order
m7,0.8765548732483076,Method E,Intervals,All r_bounds Considered,4,Interval Ranking Order
M2,0.7938950397197725,Method E,Intervals,All r_bounds Considered,4,Interval Ranking Order
M7,0.8825381829633131,Method E,Intervals,All r_bounds Considered,4,Interval Ranking Order
m2,0.8022562449637392,Method E,Intervals,All r_bounds Considered,4,Interval Ranking Order
U,0.0,Method E,Intervals,All r_bounds Considered,5,Interval Ranking Order
8v,0.019861232094009,Method E,Intervals,All r_bounds Considered,5,Interval Ranking Order
P5,0.1166563133136802,Method E,Intervals,All r_bounds Considered,5,Interval Ranking Order
P4,0.1831826426585946,Method E,Intervals,All r_bounds Considered,5,Interval Ranking Order
M3,0.1518729408417652,Method E,Intervals,All r_bounds Considered,5,Interval Ranking Order
M6,0.2858140629406891,Method E,Intervals,All r_bounds Considered,5,Interval Ranking Order
m6,0.1527640949338349,Method E,Intervals,All r_bounds Considered,5,Interval Ranking Order
m3,0.5304096959710197,Method E,Intervals,All r_bounds Considered,5,Interval Ranking Order
TT,1.0,Method E,Intervals,All r_bounds Considered,5,Interval Ranking Order
m7,0.8396906151489979,Method E,Intervals,All r_bounds Considered,5,Interval Ranking Order
M2,0.7748191386930585,Method E,Intervals,All r_bounds Considered,5,Interval Ranking Order
M7,0.7308088997576209,Method E,Intervals,All r_bounds Considered,5,Interval Ranking Order
m2,0.7181934386814437,Method E,Intervals,All r_bounds Considered,5,Interval Ranking Order
U,0.0281691102580764,Method E,Intervals,All r_bounds Considered,6,Interval Ranking Order
8v,0.0,Method E,Intervals,All r_bounds Considered,6,Interval Ranking Order
P5,0.1413188191357587,Method E,Intervals,All r_bounds Considered,6,Interval Ranking Order
P4,0.216366158113731,Method E,Intervals,All r_bounds Considered,6,Interval Ranking Order
M3,0.2119408203482187,Method E,Intervals,All r_bounds Considered,6,Interval Ranking Order
M6,0.3838713956126979,Method E,Intervals,All r_bounds Considered,6,Interval Ranking Order
m6,0.207227200978147,Method E,Intervals,All r_bounds Considered,6,Interval Ranking Order
m3,0.5814134124798697,Method E,Intervals,All r_bounds Considered,6,Interval Ranking Order
TT,1.0,Method E,Intervals,All r_bounds Considered,6,Interval Ranking Order
m7,0.8365882537180135,Method E,Intervals,All r_bounds Considered,6,Interval Ranking Order
M2,0.767026956390121,Method E,Intervals,All r_bounds Considered,6,Interval Ranking Order
M7,0.693083894035454,Method E,Intervals,All r_bounds Considered,6,Interval Ranking Order
m2,0.7148201118837054,Method E,Intervals,All r_bounds Considered,6,Interval Ranking Order
U,0.0597820688143987,Method E,Intervals,All r_bounds Considered,7,Interval Ranking Order
8v,0.0,Method E,Intervals,All r_bounds Considered,7,Interval Ranking Order
P5,0.0933270756868747,Method E,Intervals,All r_bounds Considered,7,Interval Ranking Order
P4,0.1863151656176436,Method E,Intervals,All r_bounds Considered,7,Interval Ranking Order
M3,0.208473543484845,Method E,Intervals,All r_bounds Considered,7,Interval Ranking Order
M6,0.3817530829113641,Method E,Intervals,All r_bounds Considered,7,Interval Ranking Order
m6,0.1921915429596457,Method E,Intervals,All r_bounds Considered,7,Interval Ranking Order
m3,0.544676859747401,Method E,Intervals,All r_bounds Considered,7,Interval Ranking Order
TT,1.0,Method E,Intervals,All r_bounds Considered,7,Interval Ranking Order
m7,0.7570313795348769,Method E,Intervals,All r_bounds Considered,7,Interval Ranking Order
M2,0.7169227399773391,Method E,Intervals,All r_bounds Considered,7,Interval Ranking Order
M7,0.6990321881107958,Method E,Intervals,All r_bounds Considered,7,Interval Ranking Order
m2,0.7175825408808916,Method E,Intervals,All r_bounds Considered,7,Interval Ranking Order
U,0.0582674102161888,Method E,Intervals,All r_bounds Considered,8,Interval Ranking Order
8v,0.0,Method E,Intervals,All r_bounds Considered,8,Interval Ranking Order
P5,0.107759701982972,Method E,Intervals,All r_bounds Considered,8,Interval Ranking Order
P4,0.1883529183187834,Method E,Intervals,All r_bounds Considered,8,Interval Ranking Order
M3,0.2194284129376298,Method E,Intervals,All r_bounds Considered,8,Interval Ranking Order
M6,0.3696576578678933,Method E,Intervals,All r_bounds Considered,8,Interval Ranking Order
m6,0.2072130782763586,Method E,Intervals,All r_bounds Considered,8,Interval Ranking Order
m3,0.5495993034983947,Method E,Intervals,All r_bounds Considered,8,Interval Ranking Order
TT,1.0,Method E,Intervals,All r_bounds Considered,8,Interval Ranking Order
m7,0.7082718141277734,Method E,Intervals,All r_bounds Considered,8,Interval Ranking Order
M2,0.7068304578969555,Method E,Intervals,All r_bounds Considered,8,Interval Ranking Order
M7,0.7054736357026261,Method E,Intervals,All r_bounds Considered,8,Interval Ranking Order
m2,0.7007049624174895,Method E,Intervals,All r_bounds Considered,8,Interval Ranking Order
U,0.0599986499821055,Method E,Intervals,All r_bounds Considered,9,Interval Ranking Order
8v,0.0,Method E,Intervals,All r_bounds Considered,9,Interval Ranking Order
P5,0.095361369290963,Method E,Intervals,All r_bounds Considered,9,Interval Ranking Order
P4,0.1739905479749152,Method E,Intervals,All r_bounds Considered,9,Interval Ranking Order
M3,0.2779138614419261,Method E,Intervals,All r_bounds Considered,9,Interval Ranking Order
M6,0.3789734368312422,Method E,Intervals,All r_bounds Considered,9,Interval Ranking Order
m6,0.2725762543536753,Method E,Intervals,All r_bounds Considered,9,Interval Ranking Order
m3,0.5728900074370818,Method E,Intervals,All r_bounds Considered,9,Interval Ranking Order
TT,1.0,Method E,Intervals,All r_bounds Considered,9,Interval Ranking Order
m7,0.7041692391131283,Method E,Intervals,All r_bounds Considered,9,Interval Ranking Order
M2,0.7072453929812124,Method E,Intervals,All r_bounds Considered,9,Interval Ranking Order
M7,0.7000567228265755,Method E,Intervals,All r_bounds Considered,9,Interval Ranking Order
m2,0.7536759830180814,Method E,Intervals,All r_bounds Considered,9,Interval Ranking Order
U,0.0869437188079895,Method E,Intervals,All r_bounds Considered,10,Interval Ranking Order
8v,0.0,Method E,Intervals,All r_bounds Considered,10,Interval Ranking Order
P5,0.0878763074404083,Method E,Intervals,All r_bounds Considered,10,Interval Ranking Order
P4,0.1904934214510949,Method E,Intervals,All r_bounds Considered,10,Interval Ranking Order
M3,0.274604301680809,Method E,Intervals,All r_bounds Considered,10,Interval Ranking Order
M6,0.3491611446731482,Method E,Intervals,All r_bounds Considered,10,Interval Ranking Order
m6,0.257384037643307,Method E,Intervals,All r_bounds Considered,10,Interval Ranking Order
m3,0.5475892884269283,Method E,Intervals,All r_bounds Considered,10,Interval Ranking Order
TT,1.0,Method E,Intervals,All r_bounds Considered,10,Interval Ranking Order
m7,0.7275278072325548,Method E,Intervals,All r_bounds Considered,10,Interval Ranking Order
M2,0.7134306028946682,Method E,Intervals,All r_bounds Considered,10,Interval Ranking Order
M7,0.6646560049670699,Method E,Intervals,All r_bounds Considered,10,Interval Ranking Order
m2,0.7383177530523019,Method E,Intervals,All r_bounds Considered,10,Interval Ranking Order
U,0.1001306024081928,Method E,Intervals,All r_bounds Considered,11,Interval Ranking Order
8v,0.0,Method E,Intervals,All r_bounds Considered,11,Interval Ranking Order
P5,0.0887643117104119,Method E,Intervals,All r_bounds Considered,11,Interval Ranking Order
P4,0.1780976893210623,Method E,Intervals,All r_bounds Considered,11,Interval Ranking Order
M3,0.2846678625269275,Method E,Intervals,All r_bounds Considered,11,Interval Ranking Order
M6,0.3405455597669274,Method E,Intervals,All r_bounds Considered,11,Interval Ranking Order
m6,0.2593118309918304,Method E,Intervals,All r_bounds Considered,11,Interval Ranking Order
m3,0.5719099104296574,Method E,Intervals,All r_bounds Considered,11,Interval Ranking Order
TT,1.0,Method E,Intervals,All r_bounds Considered,11,Interval Ranking Order
m7,0.735923236702946,Method E,Intervals,All r_bounds Considered,11,Interval Ranking Order
M2,0.7542058060994373,Method E,Intervals,All r_bounds Considered,11,Interval Ranking Order
M7,0.6901562447318195,Method E,Intervals,All r_bounds Considered,11,Interval Ranking Order
m2,0.7497304900546329,Method E,Intervals,All r_bounds Considered,11,Interval Ranking Order
U,0.0964604880219947,Method E,Intervals,All r_bounds Considered,12,Interval Ranking Order
8v,0.0,Method E,Intervals,All r_bounds Considered,12,Interval Ranking Order
P5,0.1109816640931398,Method E,Intervals,All r_bounds Considered,12,Interval Ranking Order
P4,0.2008109040072786,Method E,Intervals,All r_bounds Considered,12,Interval Ranking Order
M3,0.3309133463245854,Method E,Intervals,All r_bounds Considered,12,Interval Ranking Order
M6,0.3806327867761192,Method E,Intervals,All r_bounds Considered,12,Interval Ranking Order
m6,0.2826865248598131,Method E,Intervals,All r_bounds Considered,12,Interval Ranking Order
m3,0.5928846725911899,Method E,Intervals,All r_bounds Considered,12,Interval Ranking Order
TT,1.0,Method E,Intervals,All r_bounds Considered,12,Interval Ranking Order
m7,0.7095791967861311,Method E,Intervals,All r_bounds Considered,12,Interval Ranking Order
M2,0.7567214895272313,Method E,Intervals,All r_bounds Considered,12,Interval Ranking Order
M7,0.6649525911013969,Method E,Intervals,All r_bounds Considered,12,Interval Ranking Order
m2,0.7654615288883254,Method E,Intervals,All r_bounds Considered,12,Interval Ranking Order
U,0.1198737288778462,Method E,Intervals,All r_bounds Considered,13,Interval Ranking Order
8v,0.0,Method E,Intervals,All r_bounds Considered,13,Interval Ranking Order
P5,0.1227614801147238,Method E,Intervals,All r_bounds Considered,13,Interval Ranking Order
P4,0.2060655927525091,Method E,Intervals,All r_bounds Considered,13,Interval Ranking Order
M3,0.3375121232436109,Method E,Intervals,All r_bounds Considered,13,Interval Ranking Order
M6,0.3728809946790132,Method E,Intervals,All r_bounds Considered,13,Interval Ranking Order
m6,0.2774991016994756,Method E,Intervals,All r_bounds Considered,13,Interval Ranking Order
m3,0.59207841089267,Method E,Intervals,All r_bounds Considered,13,Interval Ranking Order
TT,1.0,Method E,Intervals,All r_bounds Considered,13,Interval Ranking Order
m7,0.7432036341335204,Method E,Intervals,All r_bounds Considered,13,Interval Ranking Order
M2,0.7805051282132299,Method E,Intervals,All r_bounds Considered,13,Interval Ranking Order
M7,0.6754536619310554,Method E,Intervals,All r_bounds Considered,13,Interval Ranking Order
m2,0.7909633834557809,Method E,Intervals,All r_bounds Considered,13,Interval Ranking Order
U,0.130369789290997,Method E,Intervals,All r_bounds Considered,14,Interval Ranking Order
8v,0.0,Method E,Intervals,All r_bounds Considered,14,Interval Ranking Order
P5,0.1291054717438805,Method E,Intervals,All r_bounds Considered,14,Interval Ranking Order
P4,0.2108842488801423,Method E,Intervals,All r_bounds Considered,14,Interval Ranking Order
M3,0.344864008862462,Method E,Intervals,All r_bounds Considered,14,Interval Ranking Order
M6,0.3719600303840649,Method E,Intervals,All r_bounds Considered,14,Interval Ranking Order
m6,0.2661711708703378,Method E,Intervals,All r_bounds Considered,14,Interval Ranking Order
m3,0.5782052217799043,Method E,Intervals,All r_bounds Considered,14,Interval Ranking Order
TT,1.0,Method E,Intervals,All r_bounds Considered,14,Interval Ranking Order
m7,0.7217795938730294,Method E,Intervals,All r_bounds Considered,14,Interval Ranking Order
M2,0.7907543907822413,Method E,Intervals,All r_bounds Considered,14,Interval Ranking Order
M7,0.6689155022103181,Method E,Intervals,All r_bounds Considered,14,Interval Ranking Order
m2,0.7795866486526993,Method E,Intervals,All r_bounds Considered,14,Interval Ranking Order
U,0.1613968207998418,Method E,Intervals,All r_bounds Considered,15,Interval Ranking Order
8v,0.0,Method E,Intervals,All r_bounds Considered,15,Interval Ranking Order
P5,0.1317476664115992,Method E,Intervals,All r_bounds Considered,15,Interval Ranking Order
P4,0.2416802995008714,Method E,Intervals,All r_bounds Considered,15,Interval Ranking Order
M3,0.349705359015181,Method E,Intervals,All r_bounds Considered,15,Interval Ranking Order
M6,0.369648521921355,Method E,Intervals,All r_bounds Considered,15,Interval Ranking Order
m6,0.2814696669579831,Method E,Intervals,All r_bounds Considered,15,Interval Ranking Order
m3,0.5933182643167048,Method E,Intervals,All r_bounds Considered,15,Interval Ranking Order
TT,1.0,Method E,Intervals,All r_bounds Considered,15,Interval Ranking Order
m7,0.735390498908674,Method E,Intervals,All r_bounds Considered,15,Interval Ranking Order
M2,0.8030945297044405,Method E,Intervals,All r_bounds Considered,15,Interval Ranking Order
M7,0.6487309764492378,Method E,Intervals,All r_bounds Considered,15,Interval Ranking Order
m2,0.7944871386082816,Method E,Intervals,All r_bounds Considered,15,Interval Ranking Order
U,0.1845619434373037,Method E,Intervals,All r_bounds Considered,16,Interval Ranking Order
8v,0.0,Method E,Intervals,All r_bounds Considered,16,Interval Ranking Order
P5,0.1422326388255863,Method E,Intervals,All r_bounds Considered,16,Interval Ranking Order
P4,0.2382687606906406,Method E,Intervals,All r_bounds Considered,16,Interval Ranking Order
M3,0.3638893941857963,Method E,Intervals,All r_bounds Considered,16,Interval Ranking Order
M6,0.3929837055922109,Method E,Intervals,All r_bounds Considered,16,Interval Ranking Order
m6,0.2812089145581146,Method E,Intervals,All r_bounds Considered,16,Interval Ranking Order
m3,0.5994073992527659,Method E,Intervals,All r_bounds Considered,16,Interval Ranking Order
TT,1.0,Method E,Intervals,All r_bounds Considered,16,Interval Ranking Order
m7,0.7249404889432622,Method E,Intervals,All r_bounds Considered,16,Interval Ranking Order
M2,0.8139089164936578,Method E,Intervals,All r_bounds Considered,16,Interval Ranking Order
M7,0.6594286504381015,Method E,Intervals,All r_bounds Considered,16,Interval Ranking Order
m2,0.8057102059793909,Method E,Intervals,All r_bounds Considered,16,Interval Ranking Order
U,0.1960814152136902,Method E,Intervals,All r_bounds Considered,17,Interval Ranking Order
8v,0.0,Method E,Intervals,All r_bounds Considered,17,Interval Ranking Order
P5,0.1454434426629339,Method E,Intervals,All r_bounds Considered,17,Interval Ranking Order
P4,0.2450833671758301,Method E,Intervals,All r_bounds Considered,17,Interval Ranking Order
M3,0.3765541678769002,Method E,Intervals,All r_bounds Considered,17,Interval Ranking Order
M6,0.3932952503351383,Method E,Intervals,All r_bounds Considered,17,Interval Ranking Order
m6,0.2839450115782127,Method E,Intervals,All r_bounds Considered,17,Interval Ranking Order
m3,0.6156969582699935,Method E,Intervals,All r_bounds Considered,17,Interval Ranking Order
TT,1.0,Method E,Intervals,All r_bounds Considered,17,Interval Ranking Order
m7,0.7454781019668512,Method E,Intervals,All r_bounds Considered,17,Interval Ranking Order
M2,0.8294542777958414,Method E,Intervals,All r_bounds Considered,17,Interval Ranking Order
M7,0.6533304826372497,Method E,Intervals,All r_bounds Considered,17,Interval Ranking Order
m2,0.824121094792936,Method E,Intervals,All r_bounds Considered,17,Interval Ranking Order
U,0.2103841267054653,Method E,Intervals,All r_bounds Considered,18,Interval Ranking Order
8v,0.0,Method E,Intervals,All r_bounds Considered,18,Interval Ranking Order
P5,0.1472750783967965,Method E,Intervals,All r_bounds Considered,18,Interval Ranking Order
P4,0.2530828049432433,Method E,Intervals,All r_bounds Considered,18,Interval Ranking Order
M3,0.3947734353352843,Method E,Intervals,All r_bounds Considered,18,Interval Ranking Order
M6,0.4021796867804144,Method E,Intervals,All r_bounds Considered,18,Interval Ranking Order
m6,0.3045466320159272,Method E,Intervals,All r_bounds Considered,18,Interval Ranking Order
m3,0.6269328883447282,Method E,Intervals,All r_bounds Considered,18,Interval Ranking Order
TT,1.0,Method E,Intervals,All r_bounds Considered,18,Interval Ranking Order
m7,0.7468117390145881,Method E,Intervals,All r_bounds Considered,18,Interval Ranking Order
M2,0.8417923295769482,Method E,Intervals,All r_bounds Considered,18,Interval Ranking Order
M7,0.6690427918163533,Method E,Intervals,All r_bounds Considered,18,Interval Ranking Order
m2,0.8333117717708981,Method E,Intervals,All r_bounds Considered,18,Interval Ranking Order
U,0.2018681234325275,Method E,Intervals,All r_bounds Considered,19,Interval Ranking Order
8v,0.0,Method E,Intervals,All r_bounds Considered,19,Interval Ranking Order
P5,0.14269380550294,Method E,Intervals,All r_bounds Considered,19,Interval Ranking Order
P4,0.244661671982961,Method E,Intervals,All r_bounds Considered,19,Interval Ranking Order
M3,0.3838184373317112,Method E,Intervals,All r_bounds Considered,19,Interval Ranking Order
M6,0.4019481475595396,Method E,Intervals,All r_bounds Considered,19,Interval Ranking Order
m6,0.2778783128676442,Method E,Intervals,All r_bounds Considered,19,Interval Ranking Order
m3,0.6164577542536966,Method E,Intervals,All r_bounds Considered,19,Interval Ranking Order
TT,1.0,Method E,Intervals,All r_bounds Considered,19,Interval Ranking Order
m7,0.7405703662867121,Method E,Intervals,All r_bounds Considered,19,Interval Ranking Order
M2,0.8350417498810484,Method E,Intervals,All r_bounds Considered,19,Interval Ranking Order
M7,0.6526911064884424,Method E,Intervals,All r_bounds Considered,19,Interval Ranking Order
m2,0.8302010274910028,Method E,Intervals,All r_bounds Considered,19,Interval Ranking Order
U,0.2169796218512505,Method E,Intervals,All r_bounds Considered,20,Interval Ranking Order
8v,0.0,Method E,Intervals,All r_bounds Considered,20,Interval Ranking Order
P5,0.145904317858193,Method E,Intervals,All r_bounds Considered,20,Interval Ranking Order
P4,0.2557377336722065,Method E,Intervals,All r_bounds Considered,20,Interval Ranking Order
M3,0.3863391511496359,Method E,Intervals,All r_bounds Considered,20,Interval Ranking Order
M6,0.387467377773048,Method E,Intervals,All r_bounds Considered,20,Interval Ranking Order
m6,0.2915779019925147,Method E,Intervals,All r_bounds Considered,20,Interval Ranking Order
m3,0.6263957021484119,Method E,Intervals,All r_bounds Considered,20,Interval Ranking Order
TT,1.0,Method E,Intervals,All r_bounds Considered,20,Interval Ranking Order
m7,0.7485998015123708,Method E,Intervals,All r_bounds Considered,20,Interval Ranking Order
M2,0.8370728688286986,Method E,Intervals,All r_bounds Considered,20,Interval Ranking Order
M7,0.6495913334084362,Method E,Intervals,All r_bounds Considered,20,Interval Ranking Order
m2,0.8392636429767084,Method E,Intervals,All r_bounds Considered,20,Interval Ranking Order
U,0.2389472800188462,Method E,Intervals,All r_bounds Considered,21,Interval Ranking Order
8v,0.0,Method E,Intervals,All r_bounds Considered,21,Interval Ranking Order
P5,0.1517830119741256,Method E,Intervals,All r_bounds Considered,21,Interval Ranking Order
P4,0.260277413664604,Method E,Intervals,All r_bounds Considered,21,Interval Ranking Order
M3,0.3924014164870252,Method E,Intervals,All r_bounds Considered,21,Interval Ranking Order
M6,0.399184089517567,Method E,Intervals,All r_bounds Considered,21,Interval Ranking Order
m6,0.2943325044030516,Method E,Intervals,All r_bounds Considered,21,Interval Ranking Order
m3,0.6310082260281777,Method E,Intervals,All r_bounds Considered,21,Interval Ranking Order
TT,1.0,Method E,Intervals,All r_bounds Considered,21,Interval Ranking Order
m7,0.7313189440956775,Method E,Intervals,All r_bounds Considered,21,Interval Ranking Order
M2,0.8373507669666553,Method E,Intervals,All r_bounds Considered,21,Interval Ranking Order
M7,0.64505836202615,Method E,Intervals,All r_bounds Considered,21,Interval Ranking Order
m2,0.8393955868748653,Method E,Intervals,All r_bounds Considered,21,Interval Ranking Order
U,0.2395596702234684,Method E,Intervals,All r_bounds Considered,22,Interval Ranking Order
8v,0.0,Method E,Intervals,All r_bounds Considered,22,Interval Ranking Order
P5,0.150363513944018,Method E,Intervals,All r_bounds Considered,22,Interval Ranking Order
P4,0.2601735945600298,Method E,Intervals,All r_bounds Considered,22,Interval Ranking Order
M3,0.4028886004713687,Method E,Intervals,All r_bounds Considered,22,Interval Ranking Order
M6,0.4039455144156846,Method E,Intervals,All r_bounds Considered,22,Interval Ranking Order
m6,0.2964231529280867,Method E,Intervals,All r_bounds Considered,22,Interval Ranking Order
m3,0.6548419758720879,Method E,Intervals,All r_bounds Considered,22,Interval Ranking Order
TT,1.0,Method E,Intervals,All r_bounds Considered,22,Interval Ranking Order
m7,0.7454621366316277,Method E,Intervals,All r_bounds Considered,22,Interval Ranking Order
M2,0.862520803024541,Method E,Intervals,All r_bounds Considered,22,Interval Ranking Order
M7,0.645518245093113,Method E,Intervals,All r_bounds Considered,22,Interval Ranking Order
m2,0.8607696284476569,Method E,Intervals,All r_bounds Considered,22,Interval Ranking Order
U,0.2644174288354078,Method E,Intervals,All r_bounds Considered,23,Interval Ranking Order
8v,0.0,Method E,Intervals,All r_bounds Considered,23,Interval Ranking Order
P5,0.1522430021702681,Method E,Intervals,All r_bounds Considered,23,Interval Ranking Order
P4,0.260995896879319,Method E,Intervals,All r_bounds Considered,23,Interval Ranking Order
M3,0.3977188783426383,Method E,Intervals,All r_bounds Considered,23,Interval Ranking Order
M6,0.3906242730371778,Method E,Intervals,All r_bounds Considered,23,Interval Ranking Order
m6,0.3015006845839724,Method E,Intervals,All r_bounds Considered,23,Interval Ranking Order
m3,0.6512805444188188,Method E,Intervals,All r_bounds Considered,23,Interval Ranking Order
TT,1.0,Method E,Intervals,All r_bounds Considered,23,Interval Ranking Order
m7,0.7209981142278249,Method E,Intervals,All r_bounds Considered,23,Interval Ranking Order
M2,0.8505312422942861,Method E,Intervals,All r_bounds Considered,23,Interval Ranking Order
M7,0.6271453538607711,Method E,Intervals,All r_bounds Considered,23,Interval Ranking Order
m2,0.8623124601220067,Method E,Intervals,All r_bounds Considered,23,Interval Ranking Order
U,0.2712477103038183,Method E,Intervals,All r_bounds Considered,24,Interval Ranking Order
8v,0.0,Method E,Intervals,All r_bounds Considered,24,Interval Ranking Order
P5,0.1704989982517998,Method E,Intervals,All r_bounds Considered,24,Interval Ranking Order
P4,0.2745966876281114,Method E,Intervals,All r_bounds Considered,24,Interval Ranking Order
M3,0.4096677821715374,Method E,Intervals,All r_bounds Considered,24,Interval Ranking Order
M6,0.3983322322390832,Method E,Intervals,All r_bounds Considered,24,Interval Ranking Order
m6,0.3113305010362751,Method E,Intervals,All r_bounds Considered,24,Interval Ranking Order
m3,0.6658626950011204,Method E,Intervals,All r_bounds Considered,24,Interval Ranking Order
TT,1.0,Method E,Intervals,All r_bounds Considered,24,Interval Ranking Order
m7,0.71382980955848,Method E,Intervals,All r_bounds Considered,24,Interval Ranking Order
M2,0.8534671600293146,Method E,Intervals,All r_bounds Considered,24,Interval Ranking Order
M7,0.6186570407954092,Method E,Intervals,All r_bounds Considered,24,Interval Ranking Order
m2,0.8555639419182055,Method E,Intervals,All r_bounds Considered,24,Interval Ranking Order
U,0.2731346213851678,Method E,Intervals,All r_bounds Considered,25,Interval Ranking Order
8v,0.0,Method E,Intervals,All r_bounds Considered,25,Interval Ranking Order
P5,0.160874858236697,Method E,Intervals,All r_bounds Considered,25,Interval Ranking Order
P4,0.2731910232552708,Method E,Intervals,All r_bounds Considered,25,Interval Ranking Order
M3,0.4119043253891075,Method E,Intervals,All r_bounds Considered,25,Interval Ranking Order
M6,0.3909533984562583,Method E,Intervals,All r_bounds Considered,25,Interval Ranking Order
m6,0.2977578236660228,Method E,Intervals,All r_bounds Considered,25,Interval Ranking Order
m3,0.6769394579509924,Method E,Intervals,All r_bounds Considered,25,Interval Ranking Order
TT,1.0,Method E,Intervals,All r_bounds Considered,25,Interval Ranking Order
m7,0.7016537209082352,Method E,Intervals,All r_bounds Considered,25,Interval Ranking Order
M2,0.8532873786145678,Method E,Intervals,All r_bounds Considered,25,Interval Ranking Order
M7,0.6069799678123418,Method E,Intervals,All r_bounds Considered,25,Interval Ranking Order
m2,0.8601117135345662,Method E,Intervals,All r_bounds Considered,25,Interval Ranking Order
U,0.2886843584793095,Method E,Intervals,All r_bounds Considered,26,Interval Ranking Order
8v,0.0,Method E,Intervals,All r_bounds Considered,26,Interval Ranking Order
P5,0.1614241787452932,Method E,Intervals,All r_bounds Considered,26,Interval Ranking Order
P4,0.2712116580788244,Method E,Intervals,All r_bounds Considered,26,Interval Ranking Order
M3,0.4209431458365999,Method E,Intervals,All r_bounds Considered,26,Interval Ranking Order
M6,0.3942747249627396,Method E,Intervals,All r_bounds Considered,26,Interval Ranking Order
m6,0.2911650569885497,Method E,Intervals,All r_bounds Considered,26,Interval Ranking Order
m3,0.6719377508215233,Method E,Intervals,All r_bounds Considered,26,Interval Ranking Order
TT,1.0,Method E,Intervals,All r_bounds Considered,26,Interval Ranking Order
m7,0.701839356448281,Method E,Intervals,All r_bounds Considered,26,Interval Ranking Order
M2,0.8531876790594213,Method E,Intervals,All r_bounds Considered,26,Interval Ranking Order
M7,0.6067899811379764,Method E,Intervals,All r_bounds Considered,26,Interval Ranking Order
m2,0.8713342966302119,Method E,Intervals,All r_bounds Considered,26,Interval Ranking Order
U,0.3040843497023061,Method E,Intervals,All r_bounds Considered,27,Interval Ranking Order
8v,0.0,Method E,Intervals,All r_bounds Considered,27,Interval Ranking Order
P5,0.1706045978579786,Method E,Intervals,All r_bounds Considered,27,Interval Ranking Order
P4,0.2832391125350005,Method E,Intervals,All r_bounds Considered,27,Interval Ranking Order
M3,0.4299441039702179,Method E,Intervals,All r_bounds Considered,27,Interval Ranking Order
M6,0.4019335349454644,Method E,Intervals,All r_bounds Considered,27,Interval Ranking Order
m6,0.2957442545950403,Method E,Intervals,All r_bounds Considered,27,Interval Ranking Order
