correlation,p_value,scores_based_on_emp_rank,periods_considered,harmonics_considered,ground_truth_type
0.7247095840555585,0.005074233195726755,"[0.0, 0.0, 0.19773095623987033, 0.29659643435980554, 0.683127404026081, 1.0, 0.40109582991634485, 0.9078158398234766, 0.6837351659307135, 0.5431858255455217, 0.848263228459223, 0.5321562890056939, 0.9812534800202348]",20,6,Intervals - Ranking Order
0.7247095840555585,0.005074233195726755,"[0.0, 0.0, 0.19773095623987033, 0.29659643435980554, 0.683127404026081, 1.0, 0.40109582991634485, 0.9078158398234766, 0.6837351659307135, 0.5431858255455217, 0.848263228459223, 0.5321562890056939, 0.9812534800202348]",21,6,Intervals - Ranking Order
0.7247095840555585,0.005074233195726755,"[0.0, 0.0, 0.19773095623987033, 0.29659643435980554, 0.683127404026081, 1.0, 0.40109582991634485, 0.9078158398234766, 0.6837351659307135, 0.5431858255455217, 0.848263228459223, 0.5321562890056939, 0.9812534800202348]",22,6,Intervals - Ranking Order
0.7604793456045364,0.0025450679873008897,"[0.0, 0.0, 0.19773095623987033, 0.29659643435980554, 0.683127404026081, 1.0, 0.40109582991634485, 0.9078158398234766, 0.6837351659307135, 0.8961465083382885, 0.848263228459223, 0.5321562890056939, 0.9812534800202348]",23,6,Intervals - Ranking Order
0.7453695209673383,0.0034516509929998127,"[0.0, 0.0, 0.19773095623987033, 0.29659643435980554, 0.7849088662109084, 1.0, 0.40109582991634485, 0.9078158398234766, 0.9217254831066135, 0.8961465083382885, 0.848263228459223, 0.5321562890056939, 0.9812534800202348]",24,6,Intervals - Ranking Order
0.7197203704676545,0.005541915217898466,"[0.0, 0.0, 0.17443717607931788, 0.26165576411897684, 0.6924423403655299, 0.88219457082737, 0.35384456353369764, 1.0, 0.8131412169898892, 0.7905755843219425, 0.7483332147792234, 0.469465388992464, 0.8656564926793143]",25,6,Intervals - Ranking Order
0.7197203704676545,0.005541915217898466,"[0.0, 0.0, 0.17443717607931788, 0.26165576411897684, 0.6924423403655299, 0.88219457082737, 0.35384456353369764, 1.0, 0.8131412169898892, 0.7905755843219425, 0.7483332147792234, 0.469465388992464, 0.8656564926793143]",26,6,Intervals - Ranking Order
0.770243369294064,0.0020661170916355977,"[0.0, 0.0, 0.1525, 0.22875, 0.5107594274471294, 0.67328524987495, 0.4858623608255023, 0.7887119346857013, 0.7934242737325774, 0.6133079447490487, 1.0, 0.38394352128860165, 0.7199188829709323]",27,6,Intervals - Ranking Order
0.7870514920938572,0.0014088754873749789,"[0.0, 0.0, 0.1525, 0.22875, 0.3471711632234339, 0.5038811982031924, 0.3367164078031132, 0.640813402654645, 0.5985610404429016, 0.47869557833114884, 1.0, 0.3381498975214322, 0.6561570455267091]",28,6,Intervals - Ranking Order
0.783313080671312,0.0015384186365833628,"[0.0, 0.0, 0.1525, 0.22875, 0.3796081319347403, 0.5038811982031924, 0.3367164078031132, 0.640813402654645, 0.5985610404429016, 0.47869557833114884, 1.0, 0.3381498975214322, 0.6561570455267091]",29,6,Intervals - Ranking Order
0.7903134516188774,0.001302970646758947,"[0.0, 0.0, 0.1525, 0.22875, 0.3796081319347403, 0.5038811982031924, 0.3367164078031132, 0.640813402654645, 0.5985610404429016, 0.47869557833114884, 1.0, 0.35440005777489264, 0.6561570455267091]",30,6,Intervals - Ranking Order
0.7764215192661162,0.0018015161372354795,"[0.0, 0.0, 0.1525, 0.22875, 0.3796081319347403, 0.5038811982031924, 0.3367164078031132, 0.7368401583494073, 0.5985610404429016, 0.47869557833114884, 1.0, 0.35440005777489264, 0.6561570455267091]",31,6,Intervals - Ranking Order
