,correlation,scores_based_on_emp_rank,p_value,subharmonic_method,periods_considered
10,-0.01709016657232803,"[0.30182007841980996, 0.0, 0.7214823642898025, 0.9912374823239093, 1.0, 0.3729559679673576, 0.5420628995644188, 0.8997177900299042, 0.8849506219500041, 0.2254764000928299, 0.7191775546285399, 0.10179917983525419, 0.506620074603839]",0.9558088216485241,Smallest_t_sub_and_choose_top_3_delta_t,5
11,0.616829727671509,"[0.0, 0.1310116144078594, 0.08697656346378536, 0.06615483578670031, 0.09461247217482213, 0.1597428239254548, 0.08521910176579284, 0.11815449409492772, 0.0796315512475953, 0.2023952518623577, 0.25777164878007836, 0.18238764679065278, 1.0]",0.024730858318244987,Smallest_t_sub_and_filter_by_smallest_delta_t,5
12,0.7472236347700478,"[0.0, 0.0, 0.47516197873654253, 0.19511567756893125, 0.33969988867143197, 0.3394318443354945, 0.7363139189091686, 0.5116663632228867, 0.6068589579644325, 0.3535948847042967, 0.25777164878007836, 0.9412816743216315, 1.0]",0.0033286452865447834,Smallest_delta_t_and_choose_top_3_t_sub,6
13,0.5902777994738864,"[0.0, 0.1310116144078594, 0.08697656346378536, 0.19511567756893125, 0.15861995117587668, 0.07566291657764933, 0.08521910176579284, 0.1580093145386703, 0.0796315512475953, 0.2023952518623577, 0.25777164878007836, 0.18238764679065278, 1.0]",0.03368706573815691,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),6
14,0.48331716501171457,"[0.0, 0.1310116144078594, 0.25359399769950924, 0.41589697119425123, 0.2463092420506096, 0.3394318443354945, 0.1295417215107807, 0.24483035839923178, 0.2512271260434693, 0.2023952518623577, 0.2212889260309279, 0.18238764679065278, 1.0]",0.09429034030513525,Smallest_ratio_and_filter_by_smallest_t_sub,6
15,0.5420026263647586,"[0.0, 0.3619552657551198, 0.5035811729001684, 0.6449007452269312, 0.4962955188701683, 0.5826077963222724, 0.35991904855228307, 0.49480335326191127, 0.5012256238895507, 0.4498835981255126, 0.4704135691398877, 0.4270686675356234, 1.0]",0.055695854888719434,Smallest_ratio_and_filter_by_smallest_t_sub_without_square,6
16,-0.01709016657232803,"[0.30182007841980996, 0.0, 0.7214823642898025, 0.9912374823239093, 1.0, 0.3729559679673576, 0.5420628995644188, 0.8997177900299042, 0.8849506219500041, 0.2254764000928299, 0.7191775546285399, 0.10179917983525419, 0.506620074603839]",0.9558088216485241,Smallest_t_sub_and_choose_top_3_delta_t,6
17,0.616829727671509,"[0.0, 0.1310116144078594, 0.08697656346378536, 0.06615483578670031, 0.09461247217482213, 0.1597428239254548, 0.08521910176579284, 0.11815449409492772, 0.0796315512475953, 0.2023952518623577, 0.25777164878007836, 0.18238764679065278, 1.0]",0.024730858318244987,Smallest_t_sub_and_filter_by_smallest_delta_t,6
18,0.7127513225894847,"[0.0, 0.0, 0.7455740254690301, 0.4335998558031727, 0.3161626667709107, 0.45772117562259157, 0.6852959919808194, 0.6017780654508934, 1.0, 0.6386330285985217, 0.3872613546728729, 0.876061883623285, 0.9307117173556475]",0.0062497986432963025,Smallest_delta_t_and_choose_top_3_t_sub,7
19,0.6508566011598621,"[0.0, 0.2014916621224196, 0.11467511762126212, 0.19511567756893125, 0.15861995117587668, 0.1597428239254548, 0.08521910176579284, 0.2114467276031425, 0.16724794352536118, 0.2023952518623577, 0.25777164878007836, 0.3499678318300798, 1.0]",0.01598676478040655,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),7
