,case,note_names,periods_considered,tension_score,chord_label,normalized_tension_score
116,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D4,G4",4,16321.857824455925,Csus2,1.0
117,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D4,G4",5,16321.857824455925,Csus2,0.4325111571715333
118,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D4,G4",6,16321.857824455925,Csus2,0.19480116816479348
119,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D4,G4",7,16321.857824455925,Csus2,0.11669845177383592
120,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D4,G4",8,16321.857824455925,Csus2,0.06463211681050421
121,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D4,G4",9,41614.78143006445,Csus2,0.324532128288305
122,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D4,G4",10,41614.78143006445,Csus2,0.2249661567089923
123,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D4,G4",11,41614.78143006445,Csus2,0.2249661567089923
124,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D4,G4",12,87560.1020090129,Csus2,0.631650539468085
125,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D4,G4",13,87560.1020090129,Csus2,0.24379668687641756
126,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D4,G4",14,87560.1020090129,Csus2,0.24379668687641756
127,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D4,G4",15,100885.6934145146,Csus2,0.02792995188838689
128,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D4,G4",16,100885.6934145146,Csus2,0.00981915423301016
129,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D4,G4",17,100885.6934145146,Csus2,0.00981915423301016
130,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D4,G4",18,100885.6934145146,Csus2,0.0
131,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D4,G4",19,100885.6934145146,Csus2,0.0
132,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D4,G4",20,100885.6934145146,Csus2,0.0
133,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D4,G4",21,100885.6934145146,Csus2,0.0
134,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D4,G4",22,100885.6934145146,Csus2,0.0
135,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D4,G4",23,100885.6934145146,Csus2,0.0
136,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D4,G4",24,598994.0945349034,Csus2,0.2353917963151157
137,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D4,G4",25,598994.0945349034,Csus2,0.2353917963151157
138,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D4,G4",26,598994.0945349034,Csus2,0.2353917963151157
139,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D4,G4",27,1124996.5883716103,Csus2,0.05697661581459235
140,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D4,G4",28,1124996.5883716103,Csus2,0.05697661581459235
141,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D4,G4",29,1124996.5883716103,Csus2,0.05697661581459235
142,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D4,G4",30,1124996.5883716103,Csus2,0.05259984721810535
143,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D4,G4",31,1124996.5883716103,Csus2,0.05259984721810535
144,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D4,G4",32,1124996.5883716103,Csus2,0.05259984721810535
