,correlation,scores_based_on_emp_rank,p_value,subharmonic_method,periods_considered
70,-0.002457732796989763,"[0.5498627292790443, 0.7613911099998745, 0.1479629687808938, 0.0, 0.6019038274562558, 1.0, 0.8434707574039941, 0.4435327342452274, 0.4031071786296744, 0.2716151738598797, 0.2463363031517522, 0.8459078890966825, 0.4313190909220067]",0.9936421501271681,Smallest_t_sub_and_choose_top_3_delta_t,15
71,0.05912875755735547,"[0.090567557665143, 0.4329291561745582, 0.154029036891946, 0.4021167093540274, 0.6092031060400445, 1.0, 0.7991355930494851, 0.3390965117638329, 0.6987065271220884, 0.379743935577654, 0.9929916556862098, 0.0, 0.1374671519291471]",0.8478390855186582,Smallest_t_sub_and_filter_by_smallest_delta_t,15
72,-0.37824507198096247,"[0.089442404203327, 0.0703602582383274, 1.0, 0.0420372137556353, 0.0800498872697152, 0.0098191542330101, 0.0, 0.0410030692466559, 0.0102938850167542, 0.0187682770522027, 0.0155826948247752, 0.0351510232354238, 0.0119931749073056]",0.20253507333046777,Smallest_delta_t_and_choose_top_3_t_sub,16
73,-0.1793721251659543,"[1.0, 0.1937713613077788, 0.9339083915965471, 0.3255643206782, 0.1491724432311621, 0.631650539468085, 0.397754626836396, 0.5883453584255071, 0.1073636115765361, 0.6254365292630997, 0.5873905226333426, 0.0, 0.8136208127154385]",0.5576343719770109,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),16
74,-0.04650104870385941,"[0.8825312487964492, 0.0313973222480377, 0.8036567315510196, 0.1290403084322692, 0.0059308148358551, 0.3251231658989288, 0.4194278485994911, 0.0993328938086491, 0.0, 0.3324500433046008, 0.2286783474418377, 1.0, 0.273214973570438]",0.8800957552614406,Smallest_ratio_and_filter_by_smallest_t_sub,16
75,-0.03128617891868599,"[0.9032559803200584, 0.0406452102627905, 0.8361494308962253, 0.1610912344039775, 0.0077560180453633, 0.3810597229657437, 0.4786110540731322, 0.1253320531149639, 0.0, 0.3888095828086328, 0.276078287727645, 1.0, 0.3252654648715663]",0.9191845113256996,Smallest_ratio_and_filter_by_smallest_t_sub_without_square,16
76,-0.002457732796989763,"[0.5498627292790443, 0.7613911099998745, 0.1479629687808938, 0.0, 0.6019038274562558, 1.0, 0.8434707574039941, 0.4435327342452274, 0.4031071786296744, 0.2716151738598797, 0.2463363031517522, 0.8459078890966825, 0.4313190909220067]",0.9936421501271681,Smallest_t_sub_and_choose_top_3_delta_t,16
77,0.05912875755735547,"[0.090567557665143, 0.4329291561745582, 0.154029036891946, 0.4021167093540274, 0.6092031060400445, 1.0, 0.7991355930494851, 0.3390965117638329, 0.6987065271220884, 0.379743935577654, 0.9929916556862098, 0.0, 0.1374671519291471]",0.8478390855186582,Smallest_t_sub_and_filter_by_smallest_delta_t,16
78,-0.3610705319565242,"[0.089442404203327, 0.0703602582383274, 1.0, 0.0420372137556353, 0.0800498872697152, 0.0098191542330101, 0.0, 0.0410030692466559, 0.0707862876153184, 0.0187682770522027, 0.0486063038318088, 0.0351510232354238, 0.0119931749073056]",0.22547112797420052,Smallest_delta_t_and_choose_top_3_t_sub,17
79,0.16975415689434076,"[0.9330864416088436, 0.0903233396820744, 0.8639998745529112, 0.2280885317388727, 0.0959009197350847, 0.5480451281986953, 0.3035501606455454, 0.5027775614645945, 0.0, 0.5415495284836407, 0.5017794570368722, 1.0, 0.7382614323344083]",0.5792800790000823,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),17
